user_id,cluster
12471,cluster1
12473,cluster1
12572,cluster1
12626,cluster1
12649,cluster1
12658,cluster1
user_id,cluster
12471,cluster1
12473,cluster1
12572,cluster1
12626,cluster1
12649,cluster1
12658,cluster1
12662,cluster1
12673,cluster1
13812,cluster1
13815,cluster1
13817,cluster1
12476,cluster2
12477,cluster2
12479,cluster2
12528,cluster2
12569,cluster2
12642,cluster2
12647,cluster2
12710,cluster2
12712,cluster2
12720,cluster2
12738,cluster2
12498,cluster3
12580,cluster3
12592,cluster3
12500,cluster4
12517,cluster4
12519,cluster4
12531,cluster4
12619,cluster4
12475,cluster5
12522,cluster5
12627,cluster5
12427,cluster6
12516,cluster6
12521,cluster6
12530,cluster6
12590,cluster6
12600,cluster6
12701,cluster6
12497,cluster7
12501,cluster7
12534,cluster7
12559,cluster7
12561,cluster7
12623,cluster7
12628,cluster7
12705,cluster7
12492,cluster8
12581,cluster8
12601,cluster9
12614,cluster10
12426,cluster11
12468,cluster11
12472,cluster11
12480,cluster11
12481,cluster11
12504,cluster11
12518,cluster11
12520,cluster11
12526,cluster11
12527,cluster11
12560,cluster11
12585,cluster11
12603,cluster11
12612,cluster11
12613,cluster11
12621,cluster11
12622,cluster11
12625,cluster11
12633,cluster11
12644,cluster11
12645,cluster11
12693,cluster11
12708,cluster11
12713,cluster11
13810,cluster11
13811,cluster11
13813,cluster11
13814,cluster11
14335,cluster11
12474,cluster12
12524,cluster12
12609,cluster12
12635,cluster12
13816,cluster12
12648,cluster13
12703,cluster13
12709,cluster13
12566,cluster14
12665,cluster14
12668,cluster14
12654,cluster15
12702,cluster15
